5.99;Ración de Emergencia;Una bolsa de alimentos enlatados de largo almacenamiento, con nutrientes básicos. Ideal para sobrevivir en situaciones extremas.;40;20;0.45
7.50;Sopa de Lentejas Deshidratada;Un paquete de sopa de lentejas deshidratadas, que se rehidrata con agua. Proporciona una comida nutritiva y reconfortante.;50;30;0.30
4.25;Galletas de Ración Militar;Una caja de galletas energéticas diseñadas para sobrevivir en condiciones adversas. Buen valor energético pero con bajo contenido de hidratación.;30;10;0.25
12.00;Botella de Agua Filtrada;Un litro de agua purificada con un filtro de alta eficiencia. Esencial para mantener la hidratación en ambientes desérticos.;10;90;1.00
8.75;Jerky de Carne Ahumada;Tiras de carne secas y ahumadas, ricas en proteínas. Ideal para mantener el hambre a raya durante largos viajes.;60;15;0.35
15.00;Conserva de Frutas;Una lata de frutas en conserva, con una mezcla de sabores variados. Buena opción para restaurar el hambre y algo de hidratación.;40;40;0.50
6.50;Pasta Instantánea;Paquete de pasta deshidratada que solo requiere agua caliente. Proporciona una comida rápida y completa.;55;20;0.30
3.75;Barras Energéticas;Barras compactas de calorías densas y nutrientes esenciales. Ideales para un impulso rápido de energía y hambre.;25;15;0.20
10.00;Lata de Sopa de Pollo;Una lata de sopa de pollo lista para calentar. Proporciona nutrientes básicos y es reconfortante en climas fríos.;45;25;0.40
9.99;Jugo de Fruta en Polvo;Polvo concentrado que se mezcla con agua para crear jugo. Restaura un poco el hambre y es excelente para la hidratación.;30;50;0.20
7.25;Galletas de Alforfón;Galletas duraderas hechas de alforfón, con buena cantidad de fibra. Proporcionan una cantidad moderada de saciedad.;35;10;0.30
13.50;Café Instantáneo;Paquete de café instantáneo que se puede preparar con agua caliente. Ayuda a mantener la energía, pero no es muy hidratante.;20;15;0.15
11.00;Ración de Comida Caliente;Paquete de comida preparada que solo requiere agua caliente para comer. Buena para restaurar el hambre y algo de hidratación.;50;35;0.45
6.00;Té Verde en Bolsa;Bolsas de té verde que se pueden preparar con agua caliente. Buenas para hidratarse ligeramente y obtener algo de energía.;15;30;0.10
9.50;Ensalada de Frutas Deshidratada;Mezcla de frutas secas que se pueden rehidratar con agua. Ofrece un buen aporte de nutrientes y algo de hidratación.;45;25;0.20
8.00;Ración de Pasta con Salsa;Paquete de pasta con salsa en conserva. Fácil de preparar y proporciona una comida completa.;55;20;0.35
14.00;Agua con Electrolitos;Botella de agua con electrolitos añadidos. Excelente para restaurar la hidratación y mantener el equilibrio de sales.;10;100;1.00
7.00;Galletas de Mantequilla;Galletas duraderas y energéticas con un sabor a mantequilla. Proporcionan una cantidad moderada de saciedad.;30;10;0.25
12.50;Chocolates de Ración Militar;Tabletas de chocolate de alta energía diseñadas para sobrevivir en el campo. Ideales para un impulso rápido de energía.;40;20;0.30
5.75;Cereal Deshidratado;Paquete de cereal que se puede rehidratar con agua. Proporciona una comida ligera con algo de restauración de hambre.;35;15;0.25
10.50;Lata de Chili con Carne;Una lata de chili con carne listo para calentar. Proporciona una comida nutritiva y una buena cantidad de saciedad.;60;30;0.40
4.50;Pipas de Girasol;Paquete de pipas de girasol secas. Ideal como snack, con buen aporte de calorías y algo de restauración de hambre.;20;10;0.20
11.50;Ración de Guisos en Conserva;Conserva de guisados con carne y vegetales. Buena opción para una comida nutritiva y reconfortante.;50;20;0.40
8.25;Suplemento de Proteína en Polvo;Polvo de proteína que se puede mezclar con agua. Proporciona una cantidad significativa de proteína y restauración del hambre.;30;25;0.25
13.00;Sopa de Verduras Instantánea;Paquete de sopa de verduras deshidratadas. Solo se necesita agua caliente para una comida nutritiva.;45;20;0.30
7.75;Pasta con Carne en Lata;Lata de pasta con carne en conserva. Ideal para una comida completa y reconfortante.;50;25;0.35
6.00;Bebida de Energía en Polvo;Polvo para preparar bebida energética. Ideal para un impulso rápido de energía y algo de hidratación.;15;45;0.15
9.00;Pechuga de Pollo en Conserva;Conserva de pechuga de pollo lista para comer. Proporciona una buena cantidad de proteínas y saciedad.;60;20;0.40
5.00;Sopa Instantánea de Pollo;Paquete de sopa de pollo deshidratada que solo requiere agua caliente para preparar.;40;15;0.20
12.25;Agua Mineral con Gas;Botella de agua mineral con gas, ideal para restaurar la hidratación con un toque de sabor.;10;90;1.00
8.00;Galletas de Cereal;Galletas duraderas hechas de cereal, útiles para restaurar el hambre en ambientes postapocalípticos.;30;10;0.30
10.75;Ración de Comida Listo para Comer;Comida preparada que solo necesita ser calentada. Ideal para una comida rápida y completa.;55;25;0.40
6.50;Avena Instantánea;Paquete de avena que se puede preparar con agua caliente. Ideal para una comida rápida y nutritiva.;40;20;0.30
13.75;Sopa de Mariscos Deshidratada;Paquete de sopa de mariscos deshidratada. Solo se necesita agua caliente para una comida rica en proteínas.;50;30;0.35
4.00;Barra de Muesli;Barra compacta de muesli, rica en fibra y energía. Ideal para un impulso rápido de saciedad.;25;10;0.20
9.75;Jugo de Manzana en Polvo;Polvo para preparar jugo de manzana, útil para restaurar el hambre y la hidratación.;35;50;0.20
7.25;Té de Hierbas;Bolsas de té de hierbas que se pueden preparar con agua caliente. Ofrecen un poco de hidratación y relajación.;15;20;0.15
11.25;Ración de Comida en Conserva;Lata de comida variada en conserva, ideal para una comida completa en condiciones adversas.;55;20;0.40
8.50;Galletas de Frutos Secos;Galletas con mezcla de frutos secos, que proporcionan una buena cantidad de energía.;40;10;0.30
12.75;Bebida de Agua de Coco;Botella de agua de coco, excelente para restaurar la hidratación y aportar minerales esenciales.;10;100;1.00
6.75;Barra de Proteínas;Barra compacta de proteínas, ideal para restaurar el hambre durante largos viajes.;30;15;0.25
10.25;Sopa de Tomate en Lata;Lata de sopa de tomate lista para calentar. Buena opción para una comida ligera y algo de hidratación.;45;25;0.40
5.50;Galletas de Maíz;Galletas duraderas hechas de maíz, con un alto contenido energético. Buenas para saciar el hambre.;30;10;0.25
9.25;Jugo de Naranja en Polvo;Polvo para preparar jugo de naranja, excelente para restaurar la hidratación y el hambre.;35;50;0.20
7.00;Ensalada de Pasta en Conserva;Lata de ensalada de pasta con vegetales, ideal para una comida rápida y nutritiva.;50;20;0.35
12.00;Agua de Fuente;Botella de agua de fuente, ideal para restaurar la hidratación en ambientes secos.;10;95;1.00
8.75;Galletas de Avena;Galletas duraderas de avena, útiles para mantener el hambre a raya y con un bajo nivel de hidratación.;35;10;0.30
14.00;Conserva de Frutas Mixtas;Lata de frutas mixtas en conserva, buena para restaurar el hambre y proporcionar algo de hidratación.;40;30;0.50
6.25;Sopa de Pollo y Arroz;Paquete de sopa de pollo con arroz deshidratada. Solo se necesita agua caliente para una comida completa.;50;20;0.30
11.50;Té de Menta en Bolsa;Bolsas de té de menta que se pueden preparar con agua caliente. Ofrecen un poco de hidratación y un toque refrescante.;15;20;0.10
